input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,combined_score,notes
Yohann POTTIER,406.0,Yohann POTTIER,1.0,https://utmb.world/runner/6843558.yohann.pottier,,,,,406.0,ITRA skipped because UTMB 406.0 <= threshold 680.0
Julien PESSE-GIROD,405.0,Julien PESSE-GIROD,1.0,https://utmb.world/runner/8303048.julien.pessegirod,,,,,405.0,ITRA skipped because UTMB 405.0 <= threshold 680.0
Valerie Neto,404.0,Valerie NETO,1.0,https://utmb.world/runner/5137132.valerie.neto,,,,,404.0,ITRA skipped because UTMB 404.0 <= threshold 680.0
Christian Goudeau,404.0,Christian GOUDEAU,1.0,https://utmb.world/runner/1427291.christian.goudeau,,,,,404.0,ITRA skipped because UTMB 404.0 <= threshold 680.0
Théo Joubert,400.0,Théo JOUBERT,1.0,https://utmb.world/runner/6983632.theo.joubert,,,,,400.0,ITRA skipped because UTMB 400.0 <= threshold 680.0
Laeticia Roveretto,398.0,Laeticia ROVERETTO,1.0,https://utmb.world/runner/3587457.laeticia.roveretto,,,,,398.0,ITRA skipped because UTMB 398.0 <= threshold 680.0
Stéphanie Ribiollet,397.0,Stephanie RIBIOLLET,1.0,https://utmb.world/runner/707852.stephanie.ribiollet,,,,,397.0,ITRA skipped because UTMB 397.0 <= threshold 680.0
Gérald Dumont,397.0,Gérald DUMONT,1.0,https://utmb.world/runner/7060220.gerald.dumont,,,,,397.0,ITRA skipped because UTMB 397.0 <= threshold 680.0
ANTHONY HUCHE,394.0,Anthony HUCHE,1.0,https://utmb.world/runner/5282754.anthony.huche,,,,,394.0,ITRA skipped because UTMB 394.0 <= threshold 680.0
Virginie Souffoy,393.0,Virginie SOUFFOY,1.0,https://utmb.world/runner/7593784.virginie.souffoy,,,,,393.0,ITRA skipped because UTMB 393.0 <= threshold 680.0
Clément PICHONNIER,392.0,Clément PICHONNIER,1.0,https://utmb.world/runner/7480432.clement.pichonnier,,,,,392.0,ITRA skipped because UTMB 392.0 <= threshold 680.0
Kristian Ferris,392.0,Kristian FERRIS,1.0,https://utmb.world/runner/7456588.kristian.ferris,,,,,392.0,ITRA skipped because UTMB 392.0 <= threshold 680.0
Alexandre Baldassarra,392.0,Alexandre BALDASSARRA,1.0,https://utmb.world/runner/7471048.alexandre.baldassarra,,,,,392.0,ITRA skipped because UTMB 392.0 <= threshold 680.0
